,M01AB
2021-11-18,5.2952351570129395
2021-11-19,4.782805442810059
2021-11-20,5.644545555114746
2021-11-21,6.115290641784668
2021-11-22,4.68864631652832
2021-11-23,4.860048294067383
2021-11-24,4.351863384246826
2021-11-25,5.0610833168029785
2021-11-26,5.255368709564209
2021-11-27,5.283570289611816
2021-11-28,4.718166828155518
2021-11-29,4.7056474685668945
2021-11-30,4.757466793060302
2021-12-01,4.876713752746581
2021-12-02,5.2146477699279785
2021-12-03,4.783437728881837
2021-12-04,5.059048652648926
2021-12-05,5.3295817375183105
2021-12-06,5.473501205444336
2021-12-07,4.699907302856446
2021-12-08,4.844506740570068
2021-12-09,4.888634204864502
2021-12-10,4.807612895965576
2021-12-11,4.8196892738342285
2021-12-12,5.223443984985352
2021-12-13,4.802757263183594
2021-12-14,4.5656280517578125
2021-12-15,4.874674320220947
2021-12-16,4.6727943420410165
2021-12-17,4.794645309448242
2021-12-18,5.461734771728516
2021-12-19,5.007729053497314
2021-12-20,4.939018726348877
2021-12-21,5.322497367858887
2021-12-22,5.299414157867432
2021-12-23,4.9254150390625
2021-12-24,5.178979873657227
2021-12-25,4.671001434326172
2021-12-26,5.131006240844727
2021-12-27,4.688743591308594
2021-12-28,4.596917152404785
2021-12-29,4.534145832061768
2021-12-30,4.604439735412598
2021-12-31,5.30776834487915
2022-01-01,5.338663101196289
2022-01-02,5.00932502746582
2022-01-03,5.340732097625732
2022-01-04,5.067607879638672
2022-01-05,4.632075309753418
2022-01-06,4.737155437469482
2022-01-07,4.8533220291137695
2022-01-08,5.258756160736084
2022-01-09,4.858674049377441
2022-01-10,4.974791526794434
2022-01-11,4.765374660491943
2022-01-12,4.756215572357178
2022-01-13,4.874301910400391
2022-01-14,4.847997188568116
2022-01-15,5.995485305786133
2022-01-16,5.108576774597168
2022-01-17,4.613267421722412
2022-01-18,4.852054119110107
2022-01-19,4.842569351196289
2022-01-20,4.9477458000183105
2022-01-21,5.014697551727295
2022-01-22,5.12760066986084
2022-01-23,4.8930296897888175
2022-01-24,4.8505754470825195
2022-01-25,4.944797515869141
2022-01-26,4.113241195678711
2022-01-27,5.020595550537109
2022-01-28,4.693725109100342
2022-01-29,5.065809726715088
2022-01-30,5.410739898681641
2022-01-31,4.41909122467041
2022-02-01,5.6808061599731445
2022-02-02,4.091940879821777
2022-02-03,4.958669662475586
2022-02-04,4.686603546142578
2022-02-05,5.736720561981201
2022-02-06,5.052087306976318
2022-02-07,4.671561241149902
2022-02-08,5.16707706451416
2022-02-09,4.809021949768066
2022-02-10,4.533252716064453
2022-02-11,5.000021457672119
2022-02-12,5.459897994995117
2022-02-13,5.247417449951172
2022-02-14,5.045942783355713
2022-02-15,4.460570812225342
2022-02-16,4.769515991210938
2022-02-17,4.317592144012451
2022-02-18,4.977277755737305
2022-02-19,5.3678812980651855
2022-02-20,5.02498722076416
2022-02-21,5.032998561859131
2022-02-22,4.676807403564453
2022-02-23,4.704334259033203
2022-02-24,4.876044750213623
2022-02-25,4.755877494812012
2022-02-26,6.426138877868652
2022-02-27,5.156681537628174
2022-02-28,4.521486759185791
2022-03-01,4.8352580070495605
2022-03-02,4.868926525115967
2022-03-03,4.757205009460449
2022-03-04,5.12774133682251
2022-03-05,5.275605201721191
2022-03-06,5.432628631591797
2022-03-07,4.962003707885742
2022-03-08,4.97953462600708
2022-03-09,4.887165069580078
2022-03-10,4.781848430633545
2022-03-11,5.145033359527588
2022-03-12,5.1011762619018555
2022-03-13,4.803191184997559
2022-03-14,5.241967678070068
2022-03-15,4.737844944000244
2022-03-16,5.185402393341064
2022-03-17,4.971008777618408
2022-03-18,5.168379306793213
2022-03-19,4.883673667907715
2022-03-20,5.295521259307861
2022-03-21,4.963111877441406
2022-03-22,4.808762073516846
2022-03-23,5.01095199584961
2022-03-24,5.1548943519592285
2022-03-25,4.201601028442383
2022-03-26,5.15786075592041
2022-03-27,4.754616737365723
2022-03-28,5.335890769958496
2022-03-29,5.410823345184327
2022-03-30,5.481379508972168
2022-03-31,4.773785591125488
2022-04-01,5.108842849731445
2022-04-02,5.035541534423828
2022-04-03,5.055907249450684
2022-04-04,5.122420310974122
2022-04-05,5.110170841217041
2022-04-06,5.059544086456299
2022-04-07,4.90205717086792
2022-04-08,4.8031206130981445
2022-04-09,5.400275230407716
2022-04-10,4.946182727813721
2022-04-11,5.07332992553711
2022-04-12,5.261366844177247
2022-04-13,4.6944403648376465
2022-04-14,5.1181535720825195
2022-04-15,5.0562520027160645
2022-04-16,5.251159191131592
2022-04-17,5.242290019989014
2022-04-18,4.956470966339111
2022-04-19,5.86619234085083
